student_id,attendance,assignment_score,internal_marks,external_marks,study_hours
ST001,66.9,67.1,75.5,82.0,4.1
ST002,82.9,82.1,87.7,86.6,6.5
ST003,55.0,69.4,73.7,56.6,3.6
ST004,60.6,44.5,73.1,62.1,2.5
ST005,86.8,61.1,71.8,67.2,2.9
ST006,,54.5,60.5,80.4,2.7
ST007,62.8,55.2,61.1,66.9,2.4
ST008,85.7,59.9,79.9,90.3,6.1
ST009,96.4,94.7,95.0,90.3,8.3
ST010,68.1,69.2,72.1,56.2,3.4
ST011,71.1,62.9,71.4,72.0,2.5
ST012,58.7,50.5,61.8,68.5,2.0
ST013,72.0,59.6,81.1,66.1, 5.5 
ST014,83.3,83.0,90.7,82.5,6.0
ST015,98.1,82.1,95.0,87.7,6.8
ST016,77.2,64.4,78.7,62.3,4.5
ST017,89.2,73.5,94.9,98.0,7.9
ST018,58.9,49.0,66.0,63.4,
ST019,98.7,82.5,95.0,98.0,7.1
ST020,63.3,42.9,64.3,65.4,2.3
ST021,55.0,53.0,53.0,54.9,1.5
ST022,72.6,66.7,86.8,75.4,3.9
ST023,74.1,50.6,67.0,66.9,4.0
ST024,64.1,71.6,58.2,63.1,1.8
ST025,69.4,55.7,70.1,56.4,2.5
ST026,93.2,72.1,95.0,82.8,6.8
ST027,77.2,75.1,82.7,93.3,5.9
ST028,69.1,53.4,55.6,67.8,2.8
ST029,87.6,67.7,93.4,87.2,6.0
ST030,61.5,53.2,68.7,54.2,2.5
ST031,99.1,100.0,95.0,95.8,7.2
ST032,94.3,91.2,92.3,89.2,7.8
ST033,82 ,88.0,94.9,98.0,6.6
ST034,64.7,45.1,71.6,63.5,1.6
ST035,89.4,67.9,84.8,80.4,6.1
ST036,93.9,82.2,95.0,98.0,6.7
ST037,56.0,,66.2,59.4,2.2
ST038,83.4,86.1,85.7,98.0,5.9
ST039,62.2,65.8,65.8,65.3,2.9
ST040,66.4,62.6,68.6,65.5,2.7
ST041,91.2,93.3,95.0,98.0,8.2
ST042,74.3,52.4,74.0,76.3,3.7
