student_id,online_hours,library_visits,practice_tests,sleep_hours,preferred_resource
ST001,4.3,12.0,12,6.4,Notes
ST002,5.5,7.0,9,6.6,Practice Platforms
ST003,6.4,6.0,9,5.8,Practice Platforms
ST004,2.1,9.0,1,7.1,Practice Platforms
ST005,0.6,11.0,3,5.5,Books
ST006,3.8,10.0,6,7.5,Videos
ST007,4.4,10.0,2,6.6,Books
ST008,0.6,3.0,5,7.5,online
ST009,1.3,1.0,5,8.5,Online
ST010,4.5,6.0,14,8.4,Practice Platforms
ST011,1.6,7.0,9,6.9,Online
ST012,2.8,3.0,9,7.7,Videos
ST013,3.6,11.0,14,6.7,Online
ST014,4.1,10.0,7,7.2,Videos
ST015,2.0,12.0,6,5.6,Notes
ST016,2.6,1.0,7,6.3,Books
ST017,4.8,4.0,4,7.5,Online
ST018,3.4,0.0,5,5.4,Videos
ST019,4.5,9.0,9,7.1,Notes
ST020,1.8,1.0,14,7.2, ONLINE 
ST021,0.7,11.0,12,7.5,Videos
ST022,0.8,8.0,15,5.6,Notes
ST023,3.5,1.0,1,5.5,Notes
ST024,5.1,11.0,10,7.9,Practice Platforms
ST025,1.1,4.0,0,7.2,Online
ST026,3.5,3.0,0,6.7,Videos
ST027,4.6,9.0,1,5.6,Books
ST028,5.4,7.0,14,6.6,Videos
ST029,5.3,2.0,13,6.0,Notes
ST030,4.0,1.0,15,7.8,Videos
ST031,2.7,6.0,10,5.8,Videos
ST032,3.8,10.0,3,6.8,books
ST033,5.7,5.0,13,7.7,Notes
ST034,4.5,4.0,12,7.6,Practice Platforms
ST035,4.7,0.0,14,6.6,Online
ST036,3.4,5.0,8,7.6,Videos
ST037,1.8,1.0,12,7.7,Practice Platforms
ST038,0.7,0.0,14,7.1,Notes
ST039,4.7,0.0,6,7.4,Practice Platforms
ST040,6.3,5.0,15,6.8,Notes
ST041,6.2,12.0,1,8.0,Books
ST042,5.6,4.0,4,6.9,Videos
ST043,2.4,7.0,15,5.7,Online
ST044,1.2,0.0,7,7.5,Videos 
ST045,1.0,4.0,0,6.1,Practice Platforms
ST046,4.8,6.0,2,8.2,Books
ST047,0.9,1.0,14,7.4,Online
ST048,5.2,10.0,4,5.3,Notes
ST049,2.4,11.0,9,7.8,Practice Platforms
ST050,4.2,11.0,8,7.3,Notes
ST051,1.9,7.0,15,7.6,Books
ST052,5.3,7.0,4,7.0,Notes
ST053,6.5,3.0,4,8.1,Online
ST054,2.9,4.0,13,6.4,Videos
ST055,3.4,12.0,8,7.8,Online
ST056,,4.0,9,7.3,Practice Platforms
ST057,5.1,9.0,15,5.5,Books
ST058,4.9,7.0,15,5.4,Videos
ST059,1.9,5.0,12,6.7,Notes
ST060,2.2,5.0,6,6.3,Books
ST061,2.3,9.0,12,5.3,Books
ST062,4.6,12.0,13,5.9,Online
ST063,1.8,5.0,15,6.9,Notes
ST064,5.8,6.0,4,6.3,Notes
ST065,6.2,0.0,4,9.1,Practice Platforms
ST066,1.5,9.0,10,6.4,Online
ST067,6.4,7.0,3,8.1,Practice Platforms
ST068,3.6,7.0,0,8.5,Books
ST069,1.9,6.0,4,6.5,Online
ST070,1.6,7.0,8,6.5,Videos
ST071,5.2,9.0,12,6.6,Online
ST072,6.3,5.0,12,6.8,Videos
ST073,5.8,10.0,15,6.7,Practice Platforms
ST074,5.0,0.0,2,5.9,Books
ST075,4.7,10.0,9,7.3,Books
ST076,1.8,11.0,2,6.7,Notes
ST077,1.8,1.0,3,9.1,Notes
ST078,4.0,2.0,9,7.8,Online
ST079,1.0,,10,6.7,Online
ST080,1.3,4.0,11,7.5,Videos
ST081,5.8,6.0,4,7.5,Books
ST082,3.8,8.0,13,8.0,Practice Platforms
ST083,1.0,10.0,5,5.4,Books
ST084,2.1,2.0,2,5.9,Practice Platforms
ST085,4.8,6.0,7,6.2,Notes
ST086,1.8,9.0,4,7.0,Books
ST087,4.6,7.0,8,5.0,Notes
ST088,4.1,4.0,0,6.2,Notes
ST089,5.4,4.0,5,8.2,Online
ST090,3.9,7.0,11,6.0,Practice Platforms
ST091,2.1,4.0,13,7.2,Videos
ST092,4.5,7.0,9,7.3,Books
ST093,5.6,6.0,15,7.4,Online
ST094,5.5,3.0,12,7.6,Practice Platforms
ST095,4.7,5.0,9,7.9,Videos
ST096,5.0,0.0,12,8.4,Videos
ST097,1.5,0.0,1,6.7,Practice Platforms
ST098,5.0,11.0,15,6.2,Videos
ST099,1.5,12.0,7,7.4,Practice Platforms
ST100,3.5,12.0,11,7.4,Books
ST101,0.5,10.0,6,7.7,Practice Platforms
ST102,6.4,4.0,4,5.7,Online
ST103,4.3,10.0,1,7.7,Videos
ST104,3.7,12.0,14,5.8,Online
ST105,5.2,9.0,11,7.2,Books
ST106,3.7,1.0,9,6.6,Videos
ST107,6.3,11.0,13,8.1,Books
ST108,6.1,3.0,4,5.7,Practice Platforms
ST109,1.1,5.0,8,7.2,Books
ST110,0.9,4.0,15,7.4,Videos
ST111,2.3,11.0,10,6.7,Online
ST112,4.0,7.0,2,,Books
ST113,2.6,12.0,7,6.6,Notes
ST114,5.7,12.0,11,7.1,Online
ST115,6.3,12.0,12,7.3,Online
ST116,0.6,4.0,3,6.5,Notes
ST117,0.6,5.0,8,6.9,Practice Platforms
ST118,5.1,6.0,11,5.2,Online
ST119,4.6,10.0,7,5.5,Notes
ST120,6.5,0.0,10,6.6,Practice Platforms
ST121,3.1,3.0,2,5.9,Notes
ST122,5.3,11.0,9,6.8,Notes
ST123,4.7,1.0,4,8.0,Online
ST124,2.1,0.0,9,8.2,Notes
ST125,6.2,1.0,3,6.8,Books
ST126,6.2,8.0,4,6.0,Notes
ST127,3.0,7.0,11,5.9,Practice Platforms
ST128,2.1,6.0,4,8.5,Notes
ST129,6.4,10.0,3,7.8,Notes
ST130,1.9,9.0,13,6.8,Videos
ST131,1.8,0.0,11,7.1,Books
ST132,2.7,7.0,14,6.8,Books
ST133,5.7,5.0,3,7.5,Videos
ST134,1.6,8.0,11,7.0,Online
ST135,5.7,6.0,8,7.6,Books
ST136,5.6,1.0,14,7.7,Online
ST137,5.1,10.0,6,6.2,Practice Platforms
ST138,0.7,0.0,1,7.3,Videos
ST139,6.0,3.0,4,8.1,Practice Platforms
ST140,3.4,3.0,2,7.4,Practice Platforms
ST141,1.2,3.0,6,7.3,Books
ST142,3.1,5.0,4,6.3,Practice Platforms
ST143,1.7,0.0,8,6.3,Books
ST144,4.0,2.0,8,7.0,Books
ST145,2.1,1.0,0,6.4,Books
ST146,3.2,0.0,11,7.9,Books
ST147,0.6,9.0,10,6.8,Online
ST148,3.4,2.0,8,6.4,Online
ST149,4.1,2.0,13,7.9,Practice Platforms
ST150,5.7,1.0,2,6.0,Notes
ST071,5.2,9.0,12,6.6,Online
